,TIME,MONTH,DAY,YEAR,HOUR,WIND_SPEED,WIND_DIR,TEMP,RH,BAROMETER,RADIATION,INNER_TEMP,PM10,PM1,PM2.5
8349,42718.92,12,14,2016,22,1.0164,64.09,20.1319,0.36033000000000004,1018.89,1.06884,28.4864,34.55,31.48,32.815
8350,42718.96,12,14,2016,23,1.11276,55.968999999999994,19.9801,0.359722,1019.2,1.06701,28.416999999999998,32.4067,28.7742,30.2808
8351,42719.0,12,15,2016,0,1.05654,54.831,19.7992,0.361979,1019.5,1.05972,27.8331,32.3888,30.2253,31.2095
8352,42719.04,12,15,2016,1,0.88761,45.881,19.477,0.35841999999999996,1019.5,1.05425,26.6299,28.5163,25.5951,26.9635
8353,42719.08,12,15,2016,2,1.27148,22.0662,19.0835,0.359766,1019.38,1.05304,26.2111,25.2241,23.8155,24.4312
8354,42719.13,12,15,2016,3,0.9657399999999999,24.5224,18.8,0.361719,1018.89,1.08281,26.0697,19.6621,18.1893,18.8589
8355,42719.17,12,15,2016,4,0.7326,24.9483,18.6299,0.361632,1018.79,1.0645799999999999,26.0114,15.1682,14.5354,14.8107
8356,42719.21,12,15,2016,5,1.0225799999999998,358.819,18.2731,0.362196,1019.02,1.07005,25.9267,17.4631,16.208,16.7564
8357,42719.25,12,15,2016,6,1.43151,0.8998,17.8,0.36436599999999997,1019.49,1.0658,25.8897,18.1614,16.1599,17.2689
8358,42719.29,12,15,2016,7,0.8597100000000001,14.0686,17.727,0.36467,1020.25,1.07917,25.9468,17.1015,15.6985,16.3583
8359,42719.33,12,15,2016,8,0.7821100000000001,18.9336,17.6844,0.360677,1021.19,1.11563,26.0108,19.7171,16.2057,17.1686
8360,42719.38,12,15,2016,9,1.34575,6.797000000000001,17.1792,0.35803,1022.21,7.9947,25.9471,21.0533,19.7172,20.4025
8361,42719.42,12,15,2016,10,0.86205,355.455,16.0162,0.364019,1022.94,24.7163,25.6018,26.5853,25.6653,26.191999999999997
8362,42719.46,12,15,2016,11,0.77723,5.6318,15.4543,0.362023,1023.22,41.7533,25.1085,25.846999999999998,24.6948,25.2312
8363,42719.5,12,15,2016,12,1.13135,3.9302699999999997,15.4435,0.361068,1022.69,74.475,24.7542,23.186999999999998,22.4011,22.7973
8364,42719.54,12,15,2016,13,1.1223100000000001,3.9192199999999997,16.3065,0.362847,1021.73,75.369,25.0073,28.557,22.2487,24.5247
8365,42719.58,12,15,2016,14,0.83006,25.3955,17.3075,0.359809,1020.93,70.96300000000001,25.2336,30.2066,22.5965,25.3522
8366,42719.63,12,15,2016,15,0.93068,16.3461,17.8484,0.36345500000000003,1020.59,40.8637,25.7335,30.3092,23.3283,25.7313
8367,42719.67,12,15,2016,16,1.1364100000000001,8.5346,17.8643,0.364019,1020.96,9.7951,26.1465,23.2385,19.2398,20.5772
8368,42719.71,12,15,2016,17,0.9466,29.828000000000003,17.7915,0.362804,1021.65,1.12656,26.2517,27.9666,22.3369,24.226
8369,42719.75,12,15,2016,18,0.58355,338.185,17.8605,0.36441,1022.34,1.12049,26.1881,26.7581,22.2041,23.58
8370,42719.79,12,15,2016,19,0.9653299999999999,13.4061,17.779,0.36289099999999996,1022.94,1.08524,25.9017,30.068,25.6287,27.0012
8371,42719.83,12,15,2016,20,0.85509,340.278,17.8305,0.365321,1023.58,1.1144100000000001,25.930999999999997,42.872,35.6126,37.6455
8372,42719.88,12,15,2016,21,0.61646,7.6453,18.0451,0.363976,1024.05,1.11137,26.0409,32.7605,27.8422,29.2297
8373,42719.92,12,15,2016,22,1.02098,352.29900000000004,18.0153,0.362674,1024.23,1.0974,26.1195,31.5024,27.8158,28.9504
8374,42719.96,12,15,2016,23,1.04064,328.23800000000006,17.9021,0.364583,1024.36,1.10651,26.1013,34.3467,30.6678,31.9519
8375,42720.0,12,16,2016,0,0.8691399999999999,344.343,17.7112,0.362587,1024.47,1.0979999999999999,25.9488,34.405,28.7283,31.2467
8376,42720.04,12,16,2016,1,0.6451600000000001,15.2282,17.5326,0.358464,1024.41,1.08099,25.8994,35.2864,32.2317,33.2139
8377,42720.08,12,16,2016,2,1.34981,4.937819999999999,17.7786,0.361589,1024.18,1.0840299999999998,25.8864,31.3293,28.8443,29.6857
8378,42720.13,12,16,2016,3,1.11333,23.112,17.9942,0.363238,1023.86,1.08828,25.8983,34.95,29.49,30.5083
8379,42720.17,12,16,2016,4,0.64931,2.0827,17.8209,0.36228299999999997,1023.62,1.11927,25.8948,32.5083,30.03,30.7917
8380,42720.21,12,16,2016,5,0.93056,331.07199999999995,17.2537,0.35920100000000005,1023.92,1.0645799999999999,25.8769,35.0367,32.5367,33.5367
8381,42720.25,12,16,2016,6,0.96729,3.5422300000000004,17.5482,0.357509,1024.53,1.0730899999999999,25.7651,39.7717,34.85,36.415
8382,42720.29,12,16,2016,7,0.75226,9.1414,17.5438,0.357986,1025.16,1.08889,25.7194,44.995,39.8867,41.5783
8383,42720.33,12,16,2016,8,0.75449,7.6708,17.5981,0.356944,1026.02,3.12995,25.7793,54.827,44.5083,47.0058
8384,42720.38,12,16,2016,9,1.03077,9.03,17.8415,0.362717,1027.09,36.1861,25.9138,62.258,50.472,53.46
8385,42720.42,12,16,2016,10,0.61717,23.6622,18.3404,0.362977,1027.48,99.449,26.2198,59.986000000000004,47.0,50.266000000000005
8386,42720.46,12,16,2016,11,0.67801,51.258,19.0247,0.36454000000000003,1027.01,247.8,26.6047,44.7897,36.8008,38.6742
8387,42720.5,12,16,2016,12,0.96093,13.0503,19.4114,0.360547,1025.88,228.111,27.2756,44.1175,35.7425,38.09
8388,42720.54,12,16,2016,13,1.0665,17.8628,19.6128,0.362847,1024.55,290.933,28.1514,33.7168,28.9952,30.2665
8389,42720.58,12,16,2016,14,0.78188,31.2971,19.9937,0.363628,1023.34,338.892,28.6413,34.6885,27.8468,29.1057
8390,42720.63,12,16,2016,15,0.8338899999999999,26.5211,20.1159,0.36102399999999996,1022.72,265.83,29.0161,38.2833,27.9283,29.9583
8391,42720.67,12,16,2016,16,0.8985700000000001,24.4466,20.1127,0.36093800000000004,1022.31,133.643,29.1981,38.8167,30.8905,32.4702
8392,42720.71,12,16,2016,17,0.87246,51.294,19.9651,0.358637,1022.26,32.9389,28.9748,47.7441,31.9176,35.0402
8393,42720.75,12,16,2016,18,1.14378,74.439,19.8649,0.360373,1022.46,1.09375,28.3772,56.711999999999996,35.1327,38.5513
8394,42720.79,12,16,2016,19,1.52243,91.825,19.5515,0.358811,1022.76,1.08342,27.8128,66.372,51.013000000000005,55.309
8395,42720.83,12,16,2016,20,1.49984,93.17,19.0519,0.361545,1023.21,1.0901,27.6729,61.06100000000001,46.975,50.784
8396,42720.88,12,16,2016,21,1.24824,77.642,18.6595,0.361111,1023.55,1.10469,27.4609,59.625,46.3796,49.8636
8397,42720.92,12,16,2016,22,1.0467,83.735,18.4664,0.361589,1023.72,1.07491,27.2979,63.474,44.8532,48.721000000000004
8398,42720.96,12,16,2016,23,0.9410200000000001,84.087,18.258,0.362413,1023.55,1.08646,27.0913,64.91,48.4881,53.172
8399,42721.0,12,17,2016,0,0.9027200000000001,79.163,17.8143,0.362674,1023.41,1.08889,26.6855,59.202,44.3561,47.9733
8400,42721.04,12,17,2016,1,0.82649,67.792,17.4241,0.356727,1023.05,1.0633700000000001,26.1695,50.443999999999996,41.6431,44.2669
8401,42721.08,12,17,2016,2,0.5545399999999999,12.0779,17.2296,0.358767,1022.57,1.08707,26.0692,60.943999999999996,51.42100000000001,54.646
8402,42721.13,12,17,2016,3,0.80733,63.956,17.2094,0.357248,1022.27,1.0919299999999998,25.9874,63.56399999999999,54.937,57.763000000000005
8403,42721.17,12,17,2016,4,0.81968,85.56200000000001,17.1736,0.355252,1021.93,1.0724799999999999,26.006,38.1357,33.899,35.309
8404,42721.21,12,17,2016,5,0.69328,63.486999999999995,16.9146,0.358116,1021.52,1.0974,26.1334,40.7902,34.0589,36.0857
8405,42721.25,12,17,2016,6,0.68801,77.877,16.7735,0.357856,1021.35,1.08889,25.9155,48.007,36.758,39.7542
8406,42721.29,12,17,2016,7,0.6046699999999999,3.23759,16.5768,0.358073,1021.76,1.0876700000000001,25.5374,76.755,57.67100000000001,62.955
8407,42721.33,12,17,2016,8,0.8052,114.01700000000001,16.8161,0.359505,1022.27,89.156,25.500999999999998,81.388,59.858000000000004,65.678
8408,42721.38,12,17,2016,9,1.50421,108.42399999999999,17.8429,0.364757,1022.75,292.935,25.6672,57.335,43.6439,47.2517
